q1,q2,q3,q4,q5,q6,x,y,z
-1.3517,1.1116,0.16861,0.00012227,0.13652,0,0.088378,-0.39695,0.069229
1.379,1.8849,-0.14254,-0.56054,-1.3913,0,0.026135,0.33225,-0.12584
2.8784,0.6769,0.38934,-0.27564,-0.43413,-3.9412,-0.4207,0.10481,0.22685
-0.62036,0.35202,0.515,-0.0045852,0.11031,0,0.31093,-0.22219,0.29881
-1.6543,1.624,0.30476,0.13782,-1.1976,0,-0.032728,-0.28061,-0.079603
-2.0663,0.36732,0.05118,-0.084411,-0.05355,0,-0.22252,-0.4124,0.45751
0.54571,0.67427,0.30115,0.0046805,0.037321,0,0.37098,0.22528,0.22906
0.55619,1.1198,0.23652,0.011921,-0.005607,0,0.33241,0.20664,0.057252
2.2255,1.2098,-0.27214,-0.29996,0.46331,0,-0.29755,0.40323,0.11319
-2.1075,1.8913,-0.27274,-1.4195,2.0944,0,-0.20845,-0.22983,-0.063647
0.60888,-1.9199,0.0060187,-0.014839,1.1275,0,-0.30325,-0.21262,0.50947
-1.3257,0.65881,-0.56885,-0.001868,-0.18008,0,0.13205,-0.5278,0.55256
-1.3189,-0.14677,1.2217,-0.04692,-0.5237,0,0.058237,-0.21948,0.28704
0.38399,0.57618,-0.20832,0.0017985,-0.07838,0,0.48499,0.19595,0.45257
-0.44686,0.55322,-0.12205,-0.0019423,-0.056681,0,0.46217,-0.22146,0.43077
0.47597,0.30936,0.14885,0.0014291,0.020757,0,0.39812,0.20524,0.44319
-0.013306,1.8129,1.2208,0.68155,2.0944,0,0.00051353,0.039279,0.17518
2.2533,0.67622,0.15727,-0.21171,-1.202,0,-0.31995,0.37124,0.349
0.14932,-1.6813,-1.1713,-2.3929,2.0944,0,-0.54379,-0.12473,0.22516
-1.7488,1.8853,-0.54668,-0.7111,-0.9344,0,-0.041949,-0.44652,-0.10288
0.014042,1.633,0.1772,-1.4912e-05,-0.058429,0,0.2529,0.0035516,-0.10758
1.8144,0.9089,0.73405,0.92038,0.52277,0,-0.084394,0.22099,0.089034
-2.0463,1.8077,-1.2498,0.0096413,-1.6257,0,-0.27092,-0.5246,0.18919
-0.60285,0.68905,-0.07132,-0.0033415,-0.051391,0,0.42765,-0.29435,0.34192
0.12979,1.591,-0.58309,0.0071232,-0.22531,0,0.53681,0.069953,0.015718
2.0073,1.7573,-0.14913,1.0659,2.0944,0,-0.17426,0.24445,-0.027354
-0.56855,0.050216,0.23329,-0.00076343,0.055017,0,0.32948,-0.21052,0.51848
-0.5924,1.0721,-0.054123,-0.0084728,-0.068576,0,0.41249,-0.27757,0.14035
2.024,1.0917,-0.98236,0.054646,-0.33465,0,-0.26924,0.55584,0.46713
1.1342,0.90097,0.76934,0.054501,0.19732,0,0.096683,0.20899,0.081315
0.089241,0.44717,0.44757,0.00067323,0.084746,0,0.39887,0.035694,0.2819
1.5344,0.31506,-0.16409,0.0049501,-0.067268,0,0.016945,0.4642,0.56447
2.2445,1.0577,0.57962,2.7925,2.0944,0,-0.23245,0.25698,0.14857
0.32212,0.16005,1.2217,0.021093,0.37174,0,0.14728,0.049735,0.20228
-1.8766,0.53668,0.87459,-0.12575,-1.3466,0,-0.089887,-0.31394,0.23025
-1.9454,0.17538,1.1793,0.00037349,-1.3245,0,-0.092302,-0.2347,0.27371
-0.026009,-1.9199,-1.554,-0.46162,-1.7771,-3.3426,-0.48087,0.043909,-0.021852
-1.0141,0.60104,-0.051847,-0.0035959,-0.04352,0,0.26937,-0.43282,0.37987
-0.82331,0.42784,1.083,-0.031154,-1.0776,0,0.1818,-0.19323,0.20817
-1.0878,1.5925,-1.1501,-0.0064962,-0.34763,0,0.29949,-0.57069,0.21129
0.34931,0.85764,-0.1316,0.004009,-0.075835,0,0.50159,0.18268,0.2749
-1.9398,1.7971,0.29447,-1.5713,2.0944,0,-0.12723,-0.15613,-0.036171
0.083336,0.04731,0.73106,-0.0007529,0.18254,0,0.3171,0.026477,0.33848
-1.6551,1.1518,-0.32401,0.27155,-1.1573,0,-0.065544,-0.56534,0.24647
-1.3708,0.7337,-0.27144,-0.0031586,-0.11875,0,0.10933,-0.53914,0.39425
-1.0725,1.2647,-0.65767,-0.0058962,-0.21795,0,0.2926,-0.53758,0.2293
-0.67668,0.47574,-0.16697,-0.0012258,-0.063392,0,0.39177,-0.31466,0.48744
-0.90785,1.4756,0.34235,-0.074807,-1.1925,0,0.20148,-0.2499,-0.036383
2.4043,0.19459,0.72495,0.34547,0.40898,0,-0.2357,0.20093,0.28828
-1.2187,1.8936,-1.1222,1.2803,-0.22267,3.0967,0.18396,-0.54487,-0.0017016
-1.1594,0.53803,-0.42951,-0.00020716,-0.13594,0,0.20721,-0.4749,0.56071
1.9472,0.17179,0.098839,0.032278,-0.026103,0,-0.15645,0.39595,0.52531
0.40442,-1.7626,-1.1203,2.7925,1.7647,0,-0.54132,-0.20541,0.18037
1.4577,0.70151,0.92495,0.06392,-1.2878,0,0.037685,0.29273,0.16691
-0.26324,1.4907,0.53751,-0.014926,0.094924,0,0.15524,-0.041942,-0.051553
2.8614,0.75739,0.8096,2.7925,-0.44462,4.4333,-0.21598,0.073174,0.11935
-0.69394,1.1714,-0.08293,-0.010955,-0.079678,0,0.37611,-0.31284,0.098996
-0.73829,-0.038295,1.2217,-0.047572,0.4529,0,0.1202,-0.1114,0.23479
2.8726,1.9199,-0.12376,-2.7925,1.1411,0,-0.29071,0.10337,-0.15533
-0.52942,0.9315,-0.50403,-0.0047155,-0.16424,0,0.50929,-0.29794,0.37086
-0.52661,1.2601,0.50193,-0.0047703,0.011887,0,0.21948,-0.1276,-0.0077655
1.9805,1.6309,0.060386,0.61094,-1.0686,0,-0.10616,0.33534,-0.07505
-1.4213,1.5665,-0.41786,0.14933,0.50614,0,0.072424,-0.44608,-0.027251
0.0216,-1.9199,-0.36949,-0.05722,1.7876,0,-0.44199,-0.013571,0.41346
-0.01361,0.94034,0.61195,-0.00041264,0.089375,0,0.28855,-0.0039301,0.076696
1.8756,0.26283,1.1959,-0.023046,-1.2587,0,-0.074744,0.2323,0.24414
-2.0679,1.7374,-0.75706,-0.048086,-1.0182,0,-0.26659,-0.49751,0.035995
-1.7544,0.8867,-0.36623,0.12681,-0.28702,0,-0.10772,-0.56588,0.35438
-1.9458,1.7387,-1.1577,0.034428,-1.4171,0,-0.22398,-0.56235,0.19099
0.67252,-0.64053,0.84809,-0.011014,0.25844,0,0.16667,0.13248,0.48039
2.0516,0.74757,0.38268,0.5425,0.59114,0,-0.18952,0.31853,0.17596
0.016855,-1.9199,-0.39534,-0.042622,1.3463,0,-0.46898,-0.010897,0.43165
0.45862,1.0797,-0.6162,0.0062793,-0.19812,0,0.54611,0.26953,0.32604
0.10165,-0.62095,1.0723,-0.0023951,0.34089,0,0.19476,0.019808,0.38961
-1.9815,-0.19043,0.70347,-0.16218,-1.2849,0,-0.10856,-0.27724,0.51731
2.709,0.85302,0.98479,-2.0641,2.0944,-2.2961,-0.18507,0.14594,0.18475
2.2686,-0.13929,0.67199,0.4923,-1.2706,0,-0.17256,0.25639,0.50571
2.1199,1.6376,-0.28179,0.84541,-0.36048,0,-0.20982,0.37928,-0.070383
0.29411,1.43,0.013975,0.012088,-0.081857,0,0.37316,0.11295,-0.033267
-0.36502,0.052773,0.39153,-0.0010346,0.094411,0,0.35385,-0.13523,0.45608
